"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","失物管理","0","2","單筆 - 從編輯失物視窗新增資料","0"
"0","","0","失物管理","0","1","單筆 - 領回變成拾獲","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增交辦事項","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃檯 - 改房價(房價代號)","0"
"1","","0","住客明細","0","0","住客明細-No Info","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃台 - 新增櫃台備品","0"
"0","","0","住客明細","0","1","編輯交辦事項狀態為已處理","0"
"0","","0","失物管理","0","1","單筆 - 遺失變成遺失已尋獲","0"
"4","","0","房價","0","0","新增房價","0"
"2","","0","房價","0","0","新增連動屬性房價","0"
"0","","0","住客明細","0","1","編輯交辦事項狀態為未處理","0"
"0","","0","住客明細-服務","0","7","住客明細-新增服務項目(不可改金額)","0"
"2","","0","房價","0","0","新增房價-輸入欄位驗證","0"
"1","","0","住客明細","0","0","新增留言","0"
"0","","0","失物管理","0","1","單筆 - 刪除","0"
"2","","0","接待作業 - 綜合櫃檯","0","0","綜合櫃檯 - 新增一筆Walk In","0"
"0","","0","住客明細","0","1","多位住客-新增交辦事項-多選處理部門","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃台 - 指定訂金綁定","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增接送服務","0"
"0","","0","住客明細","0","1","新增多筆住客資料","0"
"7","","0","住客明細-服務","0","0","住客明細-新增服務項目(可改金額)","0"
"1","","0","接待作業 - 綜合櫃檯","0","0","綜合櫃檯 - 新增注意事項","0"
"0","","0","住客明細-服務","0","1","驗證接送服務(接)資料-服務項目、費用明細","0"
"1","","0","住客明細","0","0","新增入住提醒","0"
"0","","0","住客明細","0","1","刪除一筆住客資料","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃檯 - 改房價(計價房型)","0"
"1","","0","失物管理","0","0","新增一筆遺失","0"
"1","","0","接待作業 - C/I清單","0","0","C/I 清單 - 單筆入住","0"
"0","","0","住客明細","0","1","新增一筆預授權","0"
"0","","0","住客明細","0","1","新增其他提醒","0"
"1","","0","住客明細-服務","0","0","新增接送服務-接(無入帳)","0"
"0","","0","接待作業 - 綜合櫃檯","0","4","綜合櫃檯 - 修改退房日","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增失物","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃台 - 設定指定公帳號","0"
"1","","0","住客明細","0","0","新增一筆住客資料","0"
"0","","0","接待作業 - 綜合櫃檯","0","1","綜合櫃檯 - 新增住客","0"
"1","","0","登入頁","0","0","登入成功","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增住客備註","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增住客","0"
"1","","0","住客明細","0","0","住客明細 - 費用明細","0"
"1","","0","接待作業 - 綜合櫃檯-住客功能","0","0","綜合櫃檯 - 新增注意事項","0"
"4","","0","接待作業 - 綜合櫃檯","0","0","綜合櫃檯 - 執行換房","0"
"1","","0","住客明細","0","0","新增Note","0"
"1","","0","住客明細-服務","0","0","新增接送服務-接(自動入帳)","0"
"1","","0","住客明細-服務","0","0","批次新增接送服務","0"
"0","","0","住客明細-服務","0","1","新增接送服務-送(無入帳)","0"
"0","","0","住客明細-服務","0","1","新增接送服務-送(自動入帳)","0"
"0","","0","住客明細","0","1","新增退房提醒","0"
"0","","0","失物管理","0","1","單筆 - 遺失已尋獲變成領回","0"
"0","","0","接待作業 - 綜合櫃檯","0","2","綜合櫃檯 - 改房價(房價)","0"
"1","","0","住客明細","0","0","新增訂房提醒","0"
"1","","0","接待作業 - 綜合櫃檯-住客功能","0","0","綜合櫃檯 - 新增其他提醒","0"
"0","","0","住客明細","0","1","編輯住客資料","0"
"0","","0","住客明細-服務","0","1","驗證接送服務(送)資料-服務項目、費用明細","0"
"1","","0","接待作業 - 綜合櫃檯-住客功能","0","0","綜合櫃檯 - 住客新增車號","0"
"0","","0","住客明細","0","1","預授權建立後無法刪除","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增留言","0"
"1","","0","失物管理","0","0","新增一筆拾獲","0"
"1","","0","失物管理","0","0","查詢日期預設要帶滾房租日","0"
"0","","0","失物管理","0","1","單筆 - 拾獲變成領回","0"
"2","","0","接待作業 - 綜合櫃檯","0","0","綜合櫃檯 - 新增關聯單號","0"
"0","","0","住客明細-服務","0","1","驗證批次新增接送服務資料","0"
"0","","0","住客明細","0","1","留言更改狀態為已告知","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","2","綜合櫃檯 - 新增提醒","0"
"0","","0","住客明細","0","1","新增交辦事項","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增預授權","0"
"0","","0","失物管理","0","1","多筆 - 拾獲變更為拾獲者領回","0"
"0","","0","接待作業 - 綜合櫃檯-住客功能","0","1","綜合櫃檯 - 新增Note","0"
